ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real
1000002330,The Songs of Adelaide & Abullah,Poetry,Publishing,GBP,09-10-2015,1000,11-08-2015 12:12,0,failed,0,GB,0,0,1533.95
1000003930,Greeting From Earth: ZGAC Arts Capsule For ET,Narrative Film,Film & Video,USD,01-11-2017,30000,02-09-2017 04:43,2421,failed,15,US,100,2421,30000
1000004038,Where is Hank?,Narrative Film,Film & Video,USD,26-02-2013,45000,12-01-2013 00:20,220,failed,3,US,220,220,45000
1000007540,ToshiCapital Rekordz Needs Help to Complete Album,Music,Music,USD,16-04-2012,5000,17-03-2012 03:24,1,failed,1,US,1,1,5000
1000011046,Community Film Project: The Art of Neighborhood Filmmaking,Film & Video,Film & Video,USD,29-08-2015,19500,04-07-2015 08:35,1283,canceled,14,US,1283,1283,19500
1000014025,Monarch Espresso Bar,Restaurants,Food,USD,01-04-2016,50000,26-02-2016 13:38,52375,successful,224,US,52375,52375,50000
1000023410,Support Solar Roasted Coffee & Green Energy!  SolarCoffee.co,Food,Food,USD,21-12-2014,1000,01-12-2014 18:30,1205,successful,16,US,1205,1205,1000
1000030581,Chaser Strips. Our Strips make Shots their B*tch!,Drinks,Food,USD,17-03-2016,25000,01-02-2016 20:05,453,failed,40,US,453,453,25000
1000034518,SPIN - Premium Retractable In-Ear Headphones with Mic,Product Design,Design,USD,29-05-2014,125000,24-04-2014 18:14,8233,canceled,58,US,8233,8233,125000
100004195,STUDIO IN THE SKY - A Documentary Feature Film (Canceled),Documentary,Film & Video,USD,10-08-2014,65000,11-07-2014 21:55,6240.57,canceled,43,US,6240.57,6240.57,65000
100004721,Of Jesus and Madmen,Nonfiction,Publishing,CAD,09-10-2013,2500,09-09-2013 18:19,0,failed,0,CA,0,0,2406.39
100005484,Lisa Lim New CD!,Indie Rock,Music,USD,08-04-2013,12500,09-03-2013 06:42,12700,successful,100,US,12700,12700,12500
1000055792,The Cottage Market,Crafts,Crafts,USD,02-10-2014,5000,02-09-2014 17:11,0,failed,0,US,0,0,5000
1000056157,G-Spot Place for Gamers to connect with eachother & go pro!,Games,Games,USD,25-03-2016,200000,09-02-2016 23:01,0,failed,0,US,0,0,200000
1000057089,Tombstone: Old West tabletop game and miniatures in 32mm.,Tabletop Games,Games,GBP,03-05-2017,5000,05-04-2017 19:44,94175,successful,761,GB,57763.78,121857.33,6469.73
